Energy Type,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Black coal,"87,573.00","89,511.00","94,325.10","97,872.70","100,544.10","102,522.10","106,089.60","109,452.20","116,969.50","118,586.30","123,833.50","134,264.00","116,774.70","115,296.60","121,182.30","127,788.50","130,231.60","132,368.50","129,569.30","127,270.50","123,724.50","116,948.80","116,654.30","111,491.10","106,965.50","107,639.40","114,263.00","118,236.00","121,689.30","119,809.50","111,860.80","106,251.40","101,076.20","96,173.90","96,405.30"
Brown coal,"33,594.00","36,048.00","34,559.00","33,248.00","34,890.00","35,832.00","39,427.00","41,893.00","46,633.00","49,703.00","50,200.00","52,223.00","56,493.00","55,160.30","55,572.80","53,377.80","54,552.80","54,375.80","54,658.70","56,981.40","56,068.30","55,298.10","55,067.70","47,555.10","46,076.20","50,970.40","48,827.80","43,594.10","36,021.40","34,495.20","33,661.60","34,060.00","32,515.60","31,459.10","32,137.10"
Natural gas,"14,359.00","10,772.00","11,633.00","12,295.00","12,199.00","14,913.00","12,445.00","11,426.00","12,934.00","16,001.00","16,245.00","17,271.00","31,730.00","29,375.30","30,919.40","23,802.90","22,725.90","31,849.90","34,955.80","37,660.40","44,587.80","48,996.70","48,571.50","51,053.40","54,393.90","52,916.90","50,536.10","50,459.70","53,881.70","52,775.40","55,216.30","49,782.90","49,280.20","48,865.20","48,489.10"
Oil products,"3,552.00","3,396.00","2,362.00","2,421.00","2,320.00","2,738.00","2,805.00","2,175.00","1,821.00","1,729.00","1,784.00","2,044.00","2,446.00","1,661.00","1,388.70","2,841.00","3,058.00","2,893.00","4,058.00","3,387.90","3,106.80","3,093.80","2,702.50","4,464.30","5,012.30","6,828.50","5,655.60","5,272.60","4,820.90","4,922.90","4,509.20","4,661.90","4,664.00","4,864.40","4,822.90"
Other a,,,,,,,,,,,,,,"1,792.20","1,817.00",434,517,479,106,,,,,,,,,,,,,,,,
"Bagasse, wood",750,769,670,670,670,670,670,670,670,674,685,633,669,826.6,"1,058.20","3,237.00","3,268.00","3,316.00","3,737.00","1,763.40","1,761.80","1,077.00","1,606.30","1,714.30","2,053.50","2,353.40","2,493.40","2,251.60","2,258.90","2,152.20","1,989.80","1,992.20","1,817.50","1,687.70","1,911.60"
Biogas,,,,,,53,258,295,359,459,449,12,281,757,741.3,593,643,637,859,"1,031.80","1,015.60","1,024.70","1,437.40","1,429.20","1,445.90","1,238.90","1,296.50","1,249.00","1,258.80","1,343.60","1,361.90","1,354.00","1,372.80","1,408.30","1,390.30"
Wind,,,,,4,7,7,7,8,28,58,210,364,703.1,705,885,"1,713.10","2,611.10","3,093.10","3,823.80","5,051.70","6,084.90","6,969.80","7,959.60","10,251.90","11,466.50","12,199.50","12,597.00","15,174.40","17,712.00","20,395.90","24,535.40","29,107.80","31,384.90","30,992.00"
Hydro,"14,880.00","16,103.00","15,768.00","16,953.00","16,649.00","16,239.00","15,731.00","16,852.00","15,733.00","16,563.00","16,720.00","16,933.00","16,054.00","16,490.00","16,331.10","15,612.20","16,029.20","14,517.00","12,056.90","11,869.40","13,548.70","16,806.70","14,083.30","18,269.60","18,420.90","13,445.00","15,318.20","16,284.90","16,020.80","15,967.30","15,149.60","15,199.70","17,010.90","16,666.10","14,960.10"
Large-scale solar PV,,,,,,,,,,,,,,,,,,,,,,,,,49.7,107.2,457.2,672.4,"1,007.60","3,732.40","7,136.10","9,637.90","12,569.20","15,212.60","18,114.80"
Small-scale solar PV,,,10.9,13.3,15.9,18.9,23.4,27.8,33.5,37.7,43.5,50,58.3,58.3,68.1,77.8,90.3,104.7,122.8,155.6,424.8,"1,530.50","2,558.60","3,826.20","4,366.30","5,424.10","6,381.00","7,399.30","8,922.40","11,116.20","13,897.10","18,079.10","22,117.50","26,229.20","30,485.40"
Geothermal,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.2,0.5,,,,,,,0
